action_counts,buy_fills,fill_opportunity_quantity,fill_ratio,fills,final_inventory,gross_spread_capture_pnl,liquidation_cost_pnl,mark_to_market_pnl,max_abs_inventory,mean_abs_inventory,negative_markout_loss,negative_markout_quantity,net_pnl,policy,post_fill_markout_pnl,quote_opportunities,regime,seed,sell_fills,steps,strategy,total_reward,transaction_cost_pnl
,37,158,0.4556962,72,2,169.0,4.3,105.19999999998618,8,2.493333333333333,4.0,4,100.89999999998618,avellaneda_stoikov,113.0,114,calm_high_cost,100026,35,300,avellaneda_stoikov,100.89999999998618,10.800000000000011
,30,134,0.44776119,60,0,138.0,0.0,81.0,5,1.4966666666666666,8.0,6,81.0,bayesian_toxicity,82.0,100,calm_high_cost,100026,30,300,bayesian_toxicity,81.0,9.000000000000004
,57,240,0.48333333,116,-2,232.0,4.04,712.6799999998839,17,7.236666666666666,62.0,33,708.6399999998839,fixed_spread,78.0,178,volatile_low_cost,100027,59,300,fixed_spread,708.6399999998839,2.3200000000000016
,39,165,0.46060606,76,2,176.0,4.04,-188.52000000004045,5,2.5833333333333335,43.0,23,-192.56000000004045,inventory_aware,58.0,121,volatile_low_cost,100027,37,300,inventory_aware,-192.56000000004045,1.520000000000001
,45,187,0.47058824,88,2,201.0,4.04,-146.76000000004206,7,2.56,46.0,24,-150.80000000004205,avellaneda_stoikov,64.0,138,volatile_low_cost,100027,43,300,avellaneda_stoikov,-150.80000000004205,1.7600000000000011
,27,120,0.45833333,55,-1,134.0,2.02,-6.100000000024011,3,1.3133333333333332,22.0,15,-8.12000000002401,bayesian_toxicity,54.0,92,volatile_low_cost,100027,28,300,bayesian_toxicity,-8.12000000002401,1.1000000000000005
,46,213,0.51643192,110,-18,220.0,38.699999999999996,85.50000000011642,18,6.283333333333333,80.0,41,46.80000000011642,fixed_spread,27.0,164,volatile_high_cost,100028,64,300,fixed_spread,46.80000000011642,16.50000000000002
,36,155,0.48387097,75,-3,173.0,6.449999999999999,-127.24999999999272,5,2.56,54.0,27,-133.6999999999927,inventory_aware,26.0,117,volatile_high_cost,100028,39,300,inventory_aware,-133.6999999999927,11.250000000000009
,38,172,0.45348837,78,-2,178.0,4.3,-205.6999999999971,7,3.1033333333333335,64.0,29,-209.9999999999971,avellaneda_stoikov,15.0,132,volatile_high_cost,100028,40,300,avellaneda_stoikov,-209.9999999999971,11.70000000000001
,31,125,0.504,63,-1,150.0,2.15,-104.449999999988,3,1.3566666666666667,46.0,22,-106.599999999988,bayesian_toxicity,20.0,97,volatile_high_cost,100028,32,300,bayesian_toxicity,-106.599999999988,9.450000000000006
